customerID,Cluster_Tenure,SegmentName_Tenure
0895-LMRSF,3,New
8098-LLAZX,1,Very New
8266-VBFQL,1,Very New
8181-YHCMF,2,Long-term
2240-HSJQD,0,Established
1248-DYXUB,0,Established
0265-EDXBD,3,New
4115-BNPJY,3,New
3167-SNQPL,0,Established
4091-TVOCN,0,Established
1098-TDVUQ,1,Very New
7277-OZCGZ,3,New
1557-EMYVT,0,Established
2799-ARNLO,1,Very New
7563-BIUPC,1,Very New
5027-YOCXN,0,Established
3973-SKMLN,2,Long-term
2321-OMBXY,0,Established
2840-XANRC,3,New
6745-JEFZB,3,New
5020-ZSTTY,0,Established
9880-TDQAC,2,Long-term
8705-WZCYL,1,Very New
7102-JJVTX,1,Very New
8626-PTQGE,2,Long-term
4983-CLMLV,0,Established
5701-YVSVF,1,Very New
5804-LEPIM,1,Very New
5697-GOMBF,3,New
2739-CACDQ,3,New
9385-EHGDO,3,New
9498-FIMXL,1,Very New
2379-GYFLQ,0,Established
0122-OAHPZ,1,Very New
2868-SNELZ,1,Very New
4322-RCYMT,2,Long-term
6680-NENYN,0,Established
2088-IEBAU,2,Long-term
7982-VCELR,3,New
1343-EHPYB,2,Long-term
6035-BXTTY,3,New
6885-PKOAM,2,Long-term
7520-HQWJU,2,Long-term
9639-BUJXT,2,Long-term
5924-SNGKP,0,Established
0021-IKXGC,1,Very New
2034-GDRCN,1,Very New
8966-SNIZF,2,Long-term
6243-OZGFH,3,New
4654-DLAMQ,2,Long-term
0513-RBGPE,0,Established
5160-UXJED,3,New
4115-NZRKS,1,Very New
0219-YTZUE,1,Very New
0623-IIHUG,3,New
4572-DVCGN,1,Very New
3351-NGXYI,3,New
8984-EYLLL,2,Long-term
9057-MSWCO,3,New
9833-TGFHX,0,Established
9294-TDIPC,1,Very New
5229-DTFYB,0,Established
0104-PPXDV,2,Long-term
5176-LMJXE,0,Established
3583-KRKMD,3,New
1010-DIAUQ,1,Very New
9069-LGEUL,3,New
7302-ZHMHP,1,Very New
9571-EDEBV,2,Long-term
3520-FJGCV,2,Long-term
6563-VRERX,3,New
0259-GBZSH,1,Very New
6122-EFVKN,3,New
2805-EDJPQ,0,Established
6862-CQUMB,0,Established
7156-MXBJE,0,Established
6158-HDPXZ,1,Very New
9601-BRXPO,3,New
2863-IMQDR,2,Long-term
5686-CMAWK,3,New
5651-CRHKQ,0,Established
6905-NIQIN,1,Very New
8204-YJCLA,2,Long-term
5167-ZFFMM,1,Very New
6583-SZVGP,0,Established
4895-TMWIR,1,Very New
0533-BNWKF,0,Established
1708-PBBOA,0,Established
8782-LKFPK,0,Established
5522-JBWMO,1,Very New
3597-MVHJT,3,New
9774-NRNAU,3,New
0224-RLWWD,1,Very New
9967-ATRFS,3,New
3951-NJCVI,0,Established
2977-CEBSX,2,Long-term
0177-PXBAT,3,New
6599-CEBNN,3,New
2519-ERQOJ,3,New
5876-QMYLD,3,New
2277-AXSDC,3,New
9442-JTWDL,1,Very New
0979-PHULV,2,Long-term
3067-SVMTC,2,Long-term
5495-GPSRW,3,New
7606-BPHHN,2,Long-term
4742-DRORA,2,Long-term
0111-KLBQG,3,New
4800-VHZKI,1,Very New
7989-CHGTL,1,Very New
0334-GDDSO,1,Very New
4163-NCJAK,0,Established
5233-AOZUF,3,New
5973-EJGDP,0,Established
1996-DBMUS,0,Established
7916-VCCPB,3,New
4686-GEFRM,2,Long-term
5249-QYHEX,0,Established
0578-SKVMF,3,New
5564-NEMQO,1,Very New
2233-FAGXV,1,Very New
5605-IYGFG,1,Very New
7663-ZTEGJ,3,New
3935-TBRZZ,0,Established
8111-BKVDS,1,Very New
2055-SIFSS,0,Established
2806-MLNTI,0,Established
8734-DKSTZ,1,Very New
4360-PNRQB,3,New
6152-ONASV,2,Long-term
9063-ZGTUY,2,Long-term
7781-HVGMK,2,Long-term
2181-UAESM,1,Very New
2957-LOLHO,1,Very New
6048-NJXHX,0,Established
2320-SLKMB,3,New
4980-URKXC,3,New
4376-KFVRS,2,Long-term
5886-VLQVU,3,New
3577-AMVUX,1,Very New
0771-WLCLA,3,New
5628-RKIFK,0,Established
0206-TBWLC,0,Established
2937-FTHUR,3,New
1910-FMXJM,3,New
7752-XUSCI,2,Long-term
4110-PFEUZ,1,Very New
0732-OCQOC,0,Established
5168-MSWXT,1,Very New
1090-ESELR,2,Long-term
8592-PLTMQ,2,Long-term
5760-WRAHC,3,New
8847-GEOOQ,2,Long-term
0256-LTHVJ,3,New
4785-FCIFB,2,Long-term
8313-NDOIA,3,New
5149-CUZUJ,3,New
0942-KOWSM,3,New
4237-CLSMM,1,Very New
1452-VOQCH,1,Very New
4719-UMSIY,1,Very New
6614-VBEGU,3,New
0880-TKATG,1,Very New
3811-VBYBZ,1,Very New
1480-BKXGA,2,Long-term
2996-XAUVF,2,Long-term
9076-AXYIK,2,Long-term
5968-XQIVE,2,Long-term
8896-RAZCR,0,Established
4640-UHDOS,1,Very New
4933-IKULF,3,New
3583-EKAPL,1,Very New
1304-BCCFO,1,Very New
4104-PVRPS,3,New
9399-APLBT,1,Very New
2359-KMGLI,3,New
3780-DDGSE,3,New
4431-EDMIQ,1,Very New
0306-JAELE,1,Very New
6227-HWPWX,1,Very New
0486-LGCCH,1,Very New
0447-BEMNG,0,Established
4612-SSVHJ,3,New
5168-MQQCA,2,Long-term
5949-XIKAE,1,Very New
7971-HLVXI,2,Long-term
9094-AZPHK,1,Very New
3649-JPUGY,2,Long-term
8372-JUXUI,1,Very New
3552-CTCYF,2,Long-term
6778-YSNIH,1,Very New
0388-EOPEX,1,Very New
5756-OZRIO,2,Long-term
6579-JPICP,1,Very New
8205-OTCHB,3,New
4134-BSXLX,3,New
0505-SPOOW,2,Long-term
6235-VDHOM,1,Very New
7783-YKGDV,1,Very New
4374-YMUSQ,3,New
4513-CXYIX,2,Long-term
3957-HHLMR,2,Long-term
7803-XOCCZ,0,Established
5736-YEJAX,2,Long-term
5609-CEBID,3,New
8981-FJGLA,1,Very New
7218-HKQFK,1,Very New
4636-QRJKY,1,Very New
1135-LMECX,1,Very New
4332-MUOEZ,3,New
8535-SFUTN,2,Long-term
5956-VKDTT,1,Very New
8677-HDZEE,0,Established
2475-MROZF,3,New
9412-GHEEC,0,Established
3482-ABPKK,3,New
6705-LXORM,1,Very New
0257-ZESQC,3,New
7531-GQHME,1,Very New
5174-ITUMV,2,Long-term
4109-CYRBD,3,New
0913-XWSCN,0,Established
6825-UYPFK,3,New
8397-MVTAZ,3,New
0750-EBAIU,0,Established
8606-CIQUL,2,Long-term
3571-DPYUH,2,Long-term
7601-GNDYK,3,New
0356-OBMAC,0,Established
8067-NIOYM,3,New
1403-GYAFU,2,Long-term
4234-XTNEA,1,Very New
1297-VQDRP,2,Long-term
9282-IZGQK,1,Very New
5348-CAGXB,1,Very New
0621-HJWXJ,2,Long-term
5844-QVTAT,3,New
8905-IAZPF,2,Long-term
5394-MEITZ,2,Long-term
6859-QNXIQ,2,Long-term
2782-LFZVW,1,Very New
2866-IKBTM,1,Very New
1342-JPNKI,1,Very New
2817-NTQDO,1,Very New
7129-AZJDE,3,New
6986-IJDHX,0,Established
2560-PPCHE,2,Long-term
4676-MQUEA,0,Established
8138-EALND,1,Very New
3580-HYCSP,2,Long-term
1352-HNSAW,2,Long-term
2075-PUEPR,0,Established
1982-FEBTD,3,New
5301-GAUUY,3,New
5791-KAJFD,0,Established
2654-VBVPB,1,Very New
1154-HYWWO,0,Established
2501-XWWTZ,1,Very New
3716-UVSPD,1,Very New
6815-ABQFQ,0,Established
7343-EOBEU,1,Very New
3701-SFMUH,1,Very New
6103-LIANB,2,Long-term
7319-VENRZ,1,Very New
5846-NEQVZ,2,Long-term
6967-QIQRV,1,Very New
5781-RFZRP,2,Long-term
0939-YAPAF,3,New
0308-IVGOK,1,Very New
7293-LSCDV,2,Long-term
7025-WCBNE,0,Established
5756-JYOJT,1,Very New
4710-FDUIZ,0,Established
6030-REHUX,3,New
9548-LIGTA,2,Long-term
5150-LJNSR,3,New
8270-RKSAP,1,Very New
6522-YRBXD,3,New
2640-LYMOV,1,Very New
1218-VKFPE,1,Very New
3627-FHKBK,1,Very New
2865-TCHJW,1,Very New
1423-BMPBQ,1,Very New
2393-DIVAI,1,Very New
5192-EBGOV,1,Very New
4568-KNYWR,0,Established
8752-IMQOS,1,Very New
0742-LAFQK,2,Long-term
0795-LAFGP,2,Long-term
0619-OLYUR,2,Long-term
5512-IDZEI,0,Established
0459-SPZHJ,2,Long-term
0215-BQKGS,3,New
9244-ZVAPM,1,Very New
0719-SYFRB,1,Very New
8208-EUMTE,3,New
5172-MIGPM,1,Very New
1710-RCXUS,0,Established
0374-FIUCA,2,Long-term
5839-SUYVZ,3,New
5173-ZXXXL,1,Very New
1096-ADRUX,2,Long-term
2001-MCUUW,0,Established
2731-GJRDG,3,New
4723-BEGSG,2,Long-term
6516-NKQBO,0,Established
8672-OAUPW,0,Established
8207-DMRVL,2,Long-term
3419-SNJJD,2,Long-term
6543-CPZMK,1,Very New
4765-OXPPD,1,Very New
2804-ETQDK,2,Long-term
6689-VRRTK,0,Established
7138-GIRSH,0,Established
9396-ZSFLL,1,Very New
6464-KEXXH,1,Very New
7134-MJPDY,2,Long-term
5240-CAOYT,2,Long-term
4059-IIEBK,1,Very New
4881-JVQOD,1,Very New
0516-UXRMT,2,Long-term
4851-BQDNX,0,Established
5148-HKFIR,3,New
1009-IRMNA,1,Very New
3003-CMDUU,3,New
5016-IBERQ,3,New
6797-UCJHZ,2,Long-term
2469-DTSGX,2,Long-term
4554-YGZIH,0,Established
5099-BAILX,0,Established
9931-KGHOA,0,Established
1775-KWJKQ,2,Long-term
7665-VIGUD,1,Very New
9411-TPQQV,0,Established
7207-RMRDB,2,Long-term
7954-MLBUN,3,New
2077-DDHJK,2,Long-term
4913-EHYUI,0,Established
0195-IESCP,1,Very New
9574-BOSMD,2,Long-term
4580-TMHJU,0,Established
0970-ETWGE,1,Very New
4908-XAXAY,0,Established
8404-VLQFB,1,Very New
1626-ERCMM,3,New
0887-HJGAR,1,Very New
2391-IPLOP,0,Established
5644-PDMZC,1,Very New
3509-GWQGF,3,New
9576-ANLXO,1,Very New
2024-BASKD,1,Very New
5845-BZZIB,3,New
1140-UKVZG,3,New
4160-AMJTL,1,Very New
5183-SNMJQ,1,Very New
8100-PNJMH,2,Long-term
7838-LAZFO,0,Established
4464-JCOLN,1,Very New
2085-JVGAD,0,Established
5650-VDUDS,1,Very New
8095-WANWK,1,Very New
3030-ZKIWL,1,Very New
9565-FLVCG,2,Long-term
8755-OGKNA,2,Long-term
2800-VEQXM,1,Very New
7538-GWHML,1,Very New
5533-RJFTJ,0,Established
3859-CVCET,1,Very New
0214-JHPFW,2,Long-term
5642-MHDQT,0,Established
3088-FVYWK,0,Established
3276-HDUEG,1,Very New
9092-GDZKO,3,New
0823-HSCDJ,0,Established
3729-OWRVL,2,Long-term
2324-AALNO,0,Established
0822-GAVAP,1,Very New
5760-IFJOZ,1,Very New
2826-UWHIS,0,Established
1448-PWKYE,1,Very New
7501-IWUNG,2,Long-term
4957-TREIR,1,Very New
7251-LJBQN,0,Established
8040-MNRTF,1,Very New
1536-HBSWP,1,Very New
5313-FPXWG,0,Established
0067-DKWBL,1,Very New
0946-FKYTX,0,Established
5076-YVXCM,0,Established
8262-COGGB,1,Very New
6663-JOCQO,3,New
9620-QJREV,0,Established
2276-YDAVZ,1,Very New
2682-KEVRP,3,New
2480-JZOSN,1,Very New
0078-XZMHT,2,Long-term
5896-NPFWW,1,Very New
9978-HYCIN,0,Established
8338-QIUNR,2,Long-term
1525-LNLOJ,2,Long-term
9450-TRJUU,3,New
1766-GKNMI,3,New
6942-LBFDP,1,Very New
1456-TWCGB,1,Very New
7133-VBDCG,3,New
7596-ZYWBB,2,Long-term
8329-UTMVM,3,New
3014-WJKSM,3,New
3347-YJZZE,3,New
1029-QFBEN,1,Very New
7929-DMBCV,3,New
9661-JALZV,2,Long-term
5433-KYGHE,1,Very New
4312-KFRXN,2,Long-term
5575-TPIZQ,0,Established
0114-IGABW,2,Long-term
9944-AEXBM,3,New
1853-ARAAQ,3,New
6952-OMNWB,2,Long-term
4697-LUPSU,1,Very New
8434-VGEQQ,2,Long-term
4952-YSOGZ,1,Very New
1589-AGTLK,1,Very New
5244-IRFIH,3,New
6549-YMFAW,1,Very New
4950-HKQTE,3,New
6786-OBWQR,1,Very New
2684-EIWEO,3,New
2753-JMMCV,2,Long-term
6439-GTPCA,0,Established
6621-YOBKI,1,Very New
1216-JWVUX,3,New
7564-GHCVB,2,Long-term
1173-NOEYG,3,New
7595-EHCDL,3,New
6647-ZEDXT,3,New
2521-NPUZR,2,Long-term
1307-TVUFB,0,Established
7503-MIOGA,2,Long-term
4381-MHQDC,0,Established
6923-JHPMP,1,Very New
5138-WVKYJ,1,Very New
4018-PPNDW,2,Long-term
1635-FJFCC,1,Very New
2499-AJYUA,2,Long-term
6919-ELBGL,2,Long-term
3966-HRMZA,1,Very New
6425-JWTDV,0,Established
8405-IGQFX,2,Long-term
8224-IVVPA,3,New
9477-LGWQI,2,Long-term
1410-RSCMR,1,Very New
0139-IVFJG,1,Very New
6683-VLCTZ,3,New
5730-DBDSI,2,Long-term
0030-FNXPP,1,Very New
2189-WWOEW,1,Very New
5684-FJVYR,2,Long-term
4013-GUXND,1,Very New
1894-IGFSG,3,New
7379-POKDZ,1,Very New
1266-NZYUI,2,Long-term
7969-FFOWG,2,Long-term
4718-DHSMV,1,Very New
5175-WLYXL,3,New
7817-OMJNA,1,Very New
8728-SKJLR,0,Established
3137-NYQQI,3,New
7706-DZNKK,1,Very New
0236-HFWSV,1,Very New
3900-AQPHZ,1,Very New
5842-POCOP,1,Very New
2037-XJFUP,3,New
8823-RLPWL,2,Long-term
9505-SQFSW,1,Very New
7314-OXENN,1,Very New
3758-CKOQL,2,Long-term
0322-CHQRU,1,Very New
5676-CFLYY,2,Long-term
7521-AFHAB,1,Very New
0285-INHLN,3,New
4678-DVQEO,1,Very New
5125-CNDSP,2,Long-term
0691-IFBQW,0,Established
4992-LTJNE,2,Long-term
2202-OUTMO,3,New
0810-BDHAW,3,New
0229-LFJAF,2,Long-term
7131-ZQZNK,2,Long-term
3442-ZHHCC,2,Long-term
5726-CVNYA,1,Very New
9871-ELEYA,3,New
4257-GAESD,1,Very New
5173-WXOQV,1,Very New
2040-OBMLJ,3,New
6286-ZHAOK,3,New
3807-XHCJH,1,Very New
3009-JWMPU,2,Long-term
5671-RQRLP,2,Long-term
1450-GALXR,1,Very New
8859-AXJZP,0,Established
3174-AKMAS,0,Established
3138-BKYAV,1,Very New
9926-PJHDQ,2,Long-term
7382-DFJTU,3,New
2798-NYLMZ,2,Long-term
4289-DTDKW,0,Established
1820-TQVEV,1,Very New
2239-JALAW,2,Long-term
4853-RULSV,2,Long-term
8098-TDCBU,0,Established
3551-GAEGL,3,New
4785-NKHCX,1,Very New
3196-NVXLZ,3,New
6275-YDUVO,1,Very New
0036-IHMOT,0,Established
0115-TFERT,3,New
4178-EGMON,2,Long-term
4220-TINQT,2,Long-term
5318-YKDPV,0,Established
7975-TZMLR,0,Established
0295-QVKPB,1,Very New
4335-BSMJS,2,Long-term
2311-QYMUQ,3,New
3643-AHCFP,1,Very New
9146-JRIOX,1,Very New
3104-OWCGK,2,Long-term
5337-IIWKZ,3,New
9101-BWFSS,0,Established
9650-VBUOG,0,Established
3487-EARAT,2,Long-term
2672-TGEFF,0,Established
9231-ZJYAM,1,Very New
4250-WAROZ,2,Long-term
8184-WMOFI,2,Long-term
6982-SSHFK,1,Very New
6092-QZVPP,3,New
4625-LAMOB,0,Established
0727-BMPLR,0,Established
0392-BZIUW,2,Long-term
1038-ZAGBI,1,Very New
6549-NNDYT,1,Very New
3027-ZTDHO,1,Very New
0422-OHQHQ,1,Very New
6916-HIJSE,2,Long-term
2316-ESMLS,1,Very New
9778-OGKQZ,2,Long-term
7408-OFWXJ,2,Long-term
6007-TCTST,2,Long-term
2252-NKNSI,0,Established
8713-IGZSO,1,Very New
7905-TVXTA,1,Very New
7695-PKLCZ,2,Long-term
2382-BCKQJ,2,Long-term
8374-UULRV,2,Long-term
2207-NHRJK,1,Very New
3224-DFQNQ,2,Long-term
5275-PMFUT,2,Long-term
4795-UXVCJ,3,New
9777-IQHWP,2,Long-term
0947-MUGVO,3,New
9944-HKVVB,1,Very New
4124-MMETB,3,New
3671-SHRSP,1,Very New
0979-MOZQI,2,Long-term
2732-ISEZX,1,Very New
3313-QKNKB,2,Long-term
0323-XWWTN,1,Very New
1937-OTUKY,2,Long-term
1573-LGXBA,2,Long-term
1764-VUUMT,2,Long-term
5073-WXOYN,2,Long-term
4713-ZBURT,0,Established
3050-GBUSH,1,Very New
0207-MDKNV,1,Very New
7876-AEHIG,0,Established
7945-HLKEA,2,Long-term
9342-VNIMQ,3,New
9851-KIELU,1,Very New
3523-BRGUW,3,New
3908-BLSYF,1,Very New
3199-NPKCN,2,Long-term
5170-PTRKA,0,Established
4661-NJEUX,1,Very New
2123-AGEEN,1,Very New
1258-YMZNM,3,New
0048-LUMLS,0,Established
7549-MYGPK,2,Long-term
5898-IGSLP,3,New
3804-RVTGV,0,Established
6259-WJQLC,3,New
9227-LUNBG,1,Very New
7997-EASSD,2,Long-term
0730-KOAVE,3,New
8975-SKGRX,2,Long-term
0678-RLHVP,0,Established
4315-MURBD,1,Very New
2267-FPIMA,0,Established
1051-GEJLJ,1,Very New
9734-YWGEX,1,Very New
2719-BDAQO,3,New
5285-MVEHD,0,Established
0379-DJQHR,2,Long-term
0781-LKXBR,1,Very New
5543-QDCRY,1,Very New
0297-RBCSG,3,New
4694-PHWFW,1,Very New
0835-JKADZ,2,Long-term
1907-UBQFC,1,Very New
7508-SMHXL,1,Very New
3865-YIOTT,2,Long-term
5993-BQHEA,1,Very New
6024-RUGGH,2,Long-term
6513-EECDB,1,Very New
3956-CJUST,3,New
4079-WWQQQ,2,Long-term
6103-BOCOU,3,New
5149-TGWDZ,3,New
7471-WNSUF,2,Long-term
8942-DBMHZ,1,Very New
4301-VVZKA,3,New
9199-PWQVC,2,Long-term
4824-GUCBY,3,New
5393-HJZSM,3,New
7074-IEVOJ,1,Very New
9625-QSTYE,1,Very New
0862-PRCBS,2,Long-term
8812-ZRHFP,3,New
5146-CBVOE,3,New
0454-OKRCT,3,New
5787-KXGIY,2,Long-term
4750-ZRXIU,1,Very New
4198-VFOEA,1,Very New
6630-UJZMY,1,Very New
6400-BWQKW,1,Very New
2692-AQCPF,2,Long-term
0347-UBKUZ,1,Very New
0835-DUUIQ,3,New
0811-GSDTP,1,Very New
7567-ECMCM,3,New
6115-ZTBFQ,2,Long-term
6353-BRMMA,0,Established
6680-WKXRZ,1,Very New
6231-WFGFH,1,Very New
9904-EHEVJ,3,New
7028-DVOIQ,3,New
6169-PPETC,3,New
4208-UFFGW,1,Very New
8584-KMVXD,1,Very New
