customerID,Cluster,SegmentName
5256-SKJGO,2,Medium-Low Spenders
3071-VBYPO,3,Medium-High Spenders
9560-BBZXK,2,Medium-Low Spenders
5299-RULOA,3,Medium-High Spenders
8402-OOOHJ,2,Medium-Low Spenders
9445-ZUEQE,3,Medium-High Spenders
1091-SOZGA,1,High Spenders
2928-HLDBA,0,Low Spenders
0404-SWRVG,3,Medium-High Spenders
6497-TILVL,0,Low Spenders
7219-TLZHO,0,Low Spenders
4622-YNKIJ,3,Medium-High Spenders
4412-YLTKF,3,Medium-High Spenders
6734-PSBAW,2,Medium-Low Spenders
3930-ZGWVE,0,Low Spenders
2639-UGMAZ,2,Medium-Low Spenders
2876-GZYZC,3,Medium-High Spenders
6207-WIOLX,3,Medium-High Spenders
8587-XYZSF,2,Medium-Low Spenders
3091-FYHKI,0,Low Spenders
2372-HWUHI,0,Low Spenders
7799-LGRDP,2,Medium-Low Spenders
7850-VWJUU,3,Medium-High Spenders
3774-VBNXY,2,Medium-Low Spenders
6217-KDYWC,2,Medium-Low Spenders
0390-DCFDQ,3,Medium-High Spenders
3146-MSEGF,1,High Spenders
4080-OGPJL,3,Medium-High Spenders
1095-WGNGG,1,High Spenders
2636-SJDOU,1,High Spenders
1131-QQZEB,2,Medium-Low Spenders
5716-EZXZN,1,High Spenders
6837-BJYDQ,0,Low Spenders
2135-RXIHG,0,Low Spenders
6440-DKQGE,3,Medium-High Spenders
3466-BYAVD,3,Medium-High Spenders
3780-YVMFA,3,Medium-High Spenders
3874-EQOEP,3,Medium-High Spenders
1679-JRFBR,1,High Spenders
9073-ZZIAY,1,High Spenders
3077-RSNTJ,0,Low Spenders
6551-GNYDG,3,Medium-High Spenders
9167-APMXZ,3,Medium-High Spenders
2749-CTKAJ,0,Low Spenders
6371-NZYEG,3,Medium-High Spenders
7554-NEWDD,0,Low Spenders
8992-VONJD,0,Low Spenders
0867-MKZVY,3,Medium-High Spenders
4482-EWFMI,3,Medium-High Spenders
4648-YPBTM,1,High Spenders
2907-ILJBN,0,Low Spenders
6345-FZOQH,2,Medium-Low Spenders
3376-BMGFE,3,Medium-High Spenders
5997-OPVFA,1,High Spenders
3445-HXXGF,2,Medium-Low Spenders
1159-WFSGR,0,Low Spenders
7654-YWJUF,1,High Spenders
1875-QIVME,3,Medium-High Spenders
6727-IOTLZ,3,Medium-High Spenders
0691-JVSYA,1,High Spenders
5918-VUKWP,0,Low Spenders
1744-JHKYS,2,Medium-Low Spenders
2656-FMOKZ,3,Medium-High Spenders
2070-FNEXE,3,Medium-High Spenders
5947-SGKCL,3,Medium-High Spenders
3712-PKXZA,2,Medium-Low Spenders
6317-YPKDH,0,Low Spenders
6582-OIVSP,0,Low Spenders
9367-WXLCH,3,Medium-High Spenders
5524-KHNJP,3,Medium-High Spenders
1918-ZBFQJ,3,Medium-High Spenders
1024-GUALD,0,Low Spenders
4827-USJHP,0,Low Spenders
8167-GJLRN,0,Low Spenders
0956-SYCWG,0,Low Spenders
8017-UVSZU,2,Medium-Low Spenders
7100-FQPRV,2,Medium-Low Spenders
2472-OVKUP,3,Medium-High Spenders
2984-RGEYA,2,Medium-Low Spenders
9680-NIAUV,1,High Spenders
2146-EGVDT,2,Medium-Low Spenders
2604-IJPDU,3,Medium-High Spenders
9178-JHUVJ,0,Low Spenders
6168-YBYNP,1,High Spenders
7255-SSFBC,1,High Spenders
3645-DEYGF,0,Low Spenders
9323-HGFWY,3,Medium-High Spenders
8544-GOQSH,3,Medium-High Spenders
3363-DTIVD,1,High Spenders
7018-WBJNK,3,Medium-High Spenders
9142-KZXOP,2,Medium-Low Spenders
7674-YTAFD,3,Medium-High Spenders
6348-SNFUS,2,Medium-Low Spenders
1285-OKIPP,3,Medium-High Spenders
7825-ECJRF,3,Medium-High Spenders
1347-KTTTA,1,High Spenders
7841-TZDMQ,0,Low Spenders
4195-NZGTA,0,Low Spenders
7157-SMCFK,2,Medium-Low Spenders
4709-LKHYG,0,Low Spenders
2504-DSHIH,3,Medium-High Spenders
0699-NDKJM,2,Medium-Low Spenders
9286-BHDQG,2,Medium-Low Spenders
0230-WEQUW,2,Medium-Low Spenders
2040-LDIWQ,1,High Spenders
6496-JDSSB,3,Medium-High Spenders
9408-SSNVZ,3,Medium-High Spenders
4443-EMBNA,2,Medium-Low Spenders
6469-MRVET,0,Low Spenders
0742-MOABM,0,Low Spenders
5961-VUSRV,0,Low Spenders
6778-JFCMK,0,Low Spenders
6341-JVQGF,3,Medium-High Spenders
2232-DMLXU,0,Low Spenders
4811-JBUVU,3,Medium-High Spenders
0945-TSONX,1,High Spenders
2651-ZCBXV,1,High Spenders
3316-UWXUY,1,High Spenders
8937-RDTHP,3,Medium-High Spenders
7083-MIOPC,2,Medium-Low Spenders
1984-GPTEH,0,Low Spenders
1251-KRREG,0,Low Spenders
0621-JFHOL,0,Low Spenders
9903-LYSAB,3,Medium-High Spenders
0094-OIFMO,3,Medium-High Spenders
9227-UAQFT,0,Low Spenders
7301-ABVAD,1,High Spenders
6614-FHDBO,1,High Spenders
7576-ASEJU,3,Medium-High Spenders
9058-HRZSV,1,High Spenders
4522-AKYLR,0,Low Spenders
0221-WMXNQ,3,Medium-High Spenders
0303-UNCIP,2,Medium-Low Spenders
9947-OTFQU,3,Medium-High Spenders
0322-YINQP,0,Low Spenders
0959-WHOKV,1,High Spenders
4075-JFPGR,1,High Spenders
4629-NRXKX,3,Medium-High Spenders
9514-JDSKI,0,Low Spenders
3282-ZISZV,3,Medium-High Spenders
3675-YDUPJ,0,Low Spenders
4111-BNXIF,1,High Spenders
7017-VFHAY,1,High Spenders
6655-LHBYW,1,High Spenders
4959-JOSRX,0,Low Spenders
5046-NUHWD,0,Low Spenders
7273-TEFQD,0,Low Spenders
3606-TWKGI,3,Medium-High Spenders
7529-ZDFXI,1,High Spenders
7605-BDWDC,2,Medium-Low Spenders
1950-KSVVJ,1,High Spenders
0123-CRBRT,1,High Spenders
6292-TOSSS,2,Medium-Low Spenders
3197-ARFOY,3,Medium-High Spenders
6323-AYBRX,2,Medium-Low Spenders
7014-ZZXAW,2,Medium-Low Spenders
4385-GZQXV,3,Medium-High Spenders
7633-MVPUY,2,Medium-Low Spenders
6366-ZGQGL,0,Low Spenders
4716-HHKQH,3,Medium-High Spenders
5940-AHUHD,3,Medium-High Spenders
6432-TWQLB,3,Medium-High Spenders
4484-GLZOU,1,High Spenders
3179-GBRWV,3,Medium-High Spenders
8645-KWHJO,0,Low Spenders
4130-MZLCC,0,Low Spenders
0314-TKOSI,0,Low Spenders
8229-MYEJZ,0,Low Spenders
2080-SRCDE,0,Low Spenders
9577-WJVCQ,2,Medium-Low Spenders
9512-UIBFX,3,Medium-High Spenders
6202-DYYFX,3,Medium-High Spenders
3808-HFKDE,0,Low Spenders
5583-SXDAG,3,Medium-High Spenders
3488-PGMQJ,3,Medium-High Spenders
3580-REOAC,0,Low Spenders
7534-BFESC,3,Medium-High Spenders
3727-OWVYD,3,Medium-High Spenders
2294-SALNE,3,Medium-High Spenders
4847-TAJYI,3,Medium-High Spenders
1563-IWQEX,0,Low Spenders
8203-XJZRC,0,Low Spenders
6556-DBKZF,1,High Spenders
6851-WEFYX,1,High Spenders
2985-JUUBZ,3,Medium-High Spenders
6390-DSAZX,3,Medium-High Spenders
0895-LMRSF,3,Medium-High Spenders
8098-LLAZX,3,Medium-High Spenders
8266-VBFQL,3,Medium-High Spenders
8181-YHCMF,1,High Spenders
2240-HSJQD,3,Medium-High Spenders
1248-DYXUB,2,Medium-Low Spenders
0265-EDXBD,3,Medium-High Spenders
4115-BNPJY,3,Medium-High Spenders
3167-SNQPL,1,High Spenders
4091-TVOCN,1,High Spenders
1098-TDVUQ,0,Low Spenders
7277-OZCGZ,3,Medium-High Spenders
1557-EMYVT,1,High Spenders
2799-ARNLO,3,Medium-High Spenders
7563-BIUPC,3,Medium-High Spenders
5027-YOCXN,1,High Spenders
3973-SKMLN,2,Medium-Low Spenders
2321-OMBXY,3,Medium-High Spenders
2840-XANRC,3,Medium-High Spenders
6745-JEFZB,3,Medium-High Spenders
5020-ZSTTY,1,High Spenders
9880-TDQAC,1,High Spenders
8705-WZCYL,0,Low Spenders
7102-JJVTX,0,Low Spenders
8626-PTQGE,1,High Spenders
4983-CLMLV,1,High Spenders
5701-YVSVF,3,Medium-High Spenders
5804-LEPIM,3,Medium-High Spenders
5697-GOMBF,0,Low Spenders
2739-CACDQ,3,Medium-High Spenders
9385-EHGDO,2,Medium-Low Spenders
9498-FIMXL,0,Low Spenders
2379-GYFLQ,1,High Spenders
0122-OAHPZ,3,Medium-High Spenders
2868-SNELZ,3,Medium-High Spenders
4322-RCYMT,1,High Spenders
6680-NENYN,1,High Spenders
2088-IEBAU,1,High Spenders
7982-VCELR,1,High Spenders
1343-EHPYB,1,High Spenders
6035-BXTTY,2,Medium-Low Spenders
6885-PKOAM,1,High Spenders
7520-HQWJU,1,High Spenders
9639-BUJXT,2,Medium-Low Spenders
5924-SNGKP,2,Medium-Low Spenders
0021-IKXGC,3,Medium-High Spenders
2034-GDRCN,3,Medium-High Spenders
8966-SNIZF,2,Medium-Low Spenders
6243-OZGFH,0,Low Spenders
4654-DLAMQ,1,High Spenders
0513-RBGPE,3,Medium-High Spenders
5160-UXJED,0,Low Spenders
4115-NZRKS,3,Medium-High Spenders
0219-YTZUE,3,Medium-High Spenders
0623-IIHUG,0,Low Spenders
4572-DVCGN,3,Medium-High Spenders
3351-NGXYI,0,Low Spenders
8984-EYLLL,1,High Spenders
9057-MSWCO,0,Low Spenders
9833-TGFHX,1,High Spenders
9294-TDIPC,0,Low Spenders
5229-DTFYB,1,High Spenders
0104-PPXDV,2,Medium-Low Spenders
5176-LMJXE,2,Medium-Low Spenders
3583-KRKMD,3,Medium-High Spenders
1010-DIAUQ,3,Medium-High Spenders
9069-LGEUL,3,Medium-High Spenders
7302-ZHMHP,0,Low Spenders
9571-EDEBV,1,High Spenders
3520-FJGCV,1,High Spenders
6563-VRERX,0,Low Spenders
0259-GBZSH,3,Medium-High Spenders
6122-EFVKN,0,Low Spenders
2805-EDJPQ,1,High Spenders
6862-CQUMB,1,High Spenders
7156-MXBJE,1,High Spenders
6158-HDPXZ,0,Low Spenders
9601-BRXPO,3,Medium-High Spenders
2863-IMQDR,1,High Spenders
5686-CMAWK,3,Medium-High Spenders
5651-CRHKQ,1,High Spenders
6905-NIQIN,0,Low Spenders
8204-YJCLA,1,High Spenders
5167-ZFFMM,3,Medium-High Spenders
6583-SZVGP,1,High Spenders
4895-TMWIR,0,Low Spenders
0533-BNWKF,1,High Spenders
1708-PBBOA,2,Medium-Low Spenders
8782-LKFPK,1,High Spenders
5522-JBWMO,0,Low Spenders
3597-MVHJT,3,Medium-High Spenders
9774-NRNAU,3,Medium-High Spenders
0224-RLWWD,0,Low Spenders
9967-ATRFS,0,Low Spenders
3951-NJCVI,1,High Spenders
2977-CEBSX,1,High Spenders
0177-PXBAT,1,High Spenders
6599-CEBNN,3,Medium-High Spenders
2519-ERQOJ,2,Medium-Low Spenders
5876-QMYLD,0,Low Spenders
2277-AXSDC,0,Low Spenders
9442-JTWDL,0,Low Spenders
0979-PHULV,1,High Spenders
3067-SVMTC,2,Medium-Low Spenders
5495-GPSRW,0,Low Spenders
7606-BPHHN,2,Medium-Low Spenders
4742-DRORA,1,High Spenders
0111-KLBQG,3,Medium-High Spenders
4800-VHZKI,0,Low Spenders
7989-CHGTL,0,Low Spenders
0334-GDDSO,3,Medium-High Spenders
4163-NCJAK,2,Medium-Low Spenders
5233-AOZUF,3,Medium-High Spenders
5973-EJGDP,1,High Spenders
1996-DBMUS,1,High Spenders
7916-VCCPB,3,Medium-High Spenders
4686-GEFRM,1,High Spenders
5249-QYHEX,2,Medium-Low Spenders
0578-SKVMF,3,Medium-High Spenders
5564-NEMQO,3,Medium-High Spenders
2233-FAGXV,0,Low Spenders
5605-IYGFG,3,Medium-High Spenders
7663-ZTEGJ,3,Medium-High Spenders
3935-TBRZZ,2,Medium-Low Spenders
8111-BKVDS,0,Low Spenders
2055-SIFSS,2,Medium-Low Spenders
2806-MLNTI,1,High Spenders
8734-DKSTZ,3,Medium-High Spenders
4360-PNRQB,3,Medium-High Spenders
6152-ONASV,2,Medium-Low Spenders
9063-ZGTUY,2,Medium-Low Spenders
7781-HVGMK,1,High Spenders
2181-UAESM,0,Low Spenders
2957-LOLHO,0,Low Spenders
6048-NJXHX,2,Medium-Low Spenders
2320-SLKMB,0,Low Spenders
4980-URKXC,2,Medium-Low Spenders
4376-KFVRS,1,High Spenders
5886-VLQVU,3,Medium-High Spenders
3577-AMVUX,0,Low Spenders
0771-WLCLA,3,Medium-High Spenders
5628-RKIFK,1,High Spenders
0206-TBWLC,1,High Spenders
2937-FTHUR,3,Medium-High Spenders
1910-FMXJM,3,Medium-High Spenders
7752-XUSCI,1,High Spenders
4110-PFEUZ,3,Medium-High Spenders
0732-OCQOC,2,Medium-Low Spenders
5168-MSWXT,3,Medium-High Spenders
1090-ESELR,1,High Spenders
8592-PLTMQ,2,Medium-Low Spenders
5760-WRAHC,3,Medium-High Spenders
8847-GEOOQ,2,Medium-Low Spenders
0256-LTHVJ,3,Medium-High Spenders
4785-FCIFB,2,Medium-Low Spenders
8313-NDOIA,3,Medium-High Spenders
5149-CUZUJ,3,Medium-High Spenders
0942-KOWSM,3,Medium-High Spenders
4237-CLSMM,0,Low Spenders
1452-VOQCH,3,Medium-High Spenders
4719-UMSIY,0,Low Spenders
6614-VBEGU,3,Medium-High Spenders
0880-TKATG,3,Medium-High Spenders
3811-VBYBZ,3,Medium-High Spenders
1480-BKXGA,1,High Spenders
2996-XAUVF,2,Medium-Low Spenders
9076-AXYIK,1,High Spenders
5968-XQIVE,1,High Spenders
8896-RAZCR,2,Medium-Low Spenders
4640-UHDOS,0,Low Spenders
4933-IKULF,0,Low Spenders
3583-EKAPL,0,Low Spenders
1304-BCCFO,3,Medium-High Spenders
4104-PVRPS,3,Medium-High Spenders
9399-APLBT,3,Medium-High Spenders
2359-KMGLI,3,Medium-High Spenders
3780-DDGSE,3,Medium-High Spenders
4431-EDMIQ,3,Medium-High Spenders
0306-JAELE,3,Medium-High Spenders
6227-HWPWX,3,Medium-High Spenders
0486-LGCCH,0,Low Spenders
0447-BEMNG,2,Medium-Low Spenders
4612-SSVHJ,3,Medium-High Spenders
5168-MQQCA,1,High Spenders
5949-XIKAE,3,Medium-High Spenders
7971-HLVXI,1,High Spenders
9094-AZPHK,3,Medium-High Spenders
3649-JPUGY,1,High Spenders
8372-JUXUI,3,Medium-High Spenders
3552-CTCYF,1,High Spenders
6778-YSNIH,0,Low Spenders
0388-EOPEX,3,Medium-High Spenders
5756-OZRIO,1,High Spenders
6579-JPICP,0,Low Spenders
8205-OTCHB,0,Low Spenders
4134-BSXLX,3,Medium-High Spenders
0505-SPOOW,2,Medium-Low Spenders
6235-VDHOM,0,Low Spenders
7783-YKGDV,3,Medium-High Spenders
4374-YMUSQ,1,High Spenders
4513-CXYIX,1,High Spenders
3957-HHLMR,1,High Spenders
7803-XOCCZ,1,High Spenders
5736-YEJAX,1,High Spenders
5609-CEBID,3,Medium-High Spenders
8981-FJGLA,3,Medium-High Spenders
7218-HKQFK,3,Medium-High Spenders
4636-QRJKY,3,Medium-High Spenders
1135-LMECX,0,Low Spenders
4332-MUOEZ,3,Medium-High Spenders
8535-SFUTN,1,High Spenders
5956-VKDTT,3,Medium-High Spenders
8677-HDZEE,1,High Spenders
2475-MROZF,3,Medium-High Spenders
9412-GHEEC,1,High Spenders
3482-ABPKK,3,Medium-High Spenders
6705-LXORM,3,Medium-High Spenders
0257-ZESQC,3,Medium-High Spenders
7531-GQHME,0,Low Spenders
5174-ITUMV,1,High Spenders
4109-CYRBD,3,Medium-High Spenders
0913-XWSCN,1,High Spenders
6825-UYPFK,3,Medium-High Spenders
8397-MVTAZ,3,Medium-High Spenders
0750-EBAIU,1,High Spenders
8606-CIQUL,1,High Spenders
3571-DPYUH,1,High Spenders
7601-GNDYK,2,Medium-Low Spenders
0356-OBMAC,1,High Spenders
8067-NIOYM,0,Low Spenders
1403-GYAFU,2,Medium-Low Spenders
4234-XTNEA,3,Medium-High Spenders
1297-VQDRP,1,High Spenders
9282-IZGQK,3,Medium-High Spenders
5348-CAGXB,3,Medium-High Spenders
0621-HJWXJ,1,High Spenders
5844-QVTAT,3,Medium-High Spenders
8905-IAZPF,1,High Spenders
5394-MEITZ,1,High Spenders
6859-QNXIQ,1,High Spenders
2782-LFZVW,3,Medium-High Spenders
2866-IKBTM,0,Low Spenders
1342-JPNKI,3,Medium-High Spenders
2817-NTQDO,0,Low Spenders
7129-AZJDE,3,Medium-High Spenders
6986-IJDHX,3,Medium-High Spenders
2560-PPCHE,1,High Spenders
4676-MQUEA,1,High Spenders
8138-EALND,0,Low Spenders
3580-HYCSP,1,High Spenders
1352-HNSAW,1,High Spenders
2075-PUEPR,2,Medium-Low Spenders
1982-FEBTD,0,Low Spenders
5301-GAUUY,3,Medium-High Spenders
5791-KAJFD,1,High Spenders
2654-VBVPB,0,Low Spenders
1154-HYWWO,3,Medium-High Spenders
2501-XWWTZ,3,Medium-High Spenders
3716-UVSPD,0,Low Spenders
6815-ABQFQ,1,High Spenders
7343-EOBEU,0,Low Spenders
3701-SFMUH,3,Medium-High Spenders
6103-LIANB,1,High Spenders
7319-VENRZ,3,Medium-High Spenders
5846-NEQVZ,1,High Spenders
6967-QIQRV,3,Medium-High Spenders
5781-RFZRP,1,High Spenders
0939-YAPAF,1,High Spenders
0308-IVGOK,0,Low Spenders
7293-LSCDV,2,Medium-Low Spenders
7025-WCBNE,2,Medium-Low Spenders
5756-JYOJT,3,Medium-High Spenders
4710-FDUIZ,1,High Spenders
6030-REHUX,3,Medium-High Spenders
9548-LIGTA,1,High Spenders
5150-LJNSR,3,Medium-High Spenders
8270-RKSAP,3,Medium-High Spenders
6522-YRBXD,3,Medium-High Spenders
2640-LYMOV,0,Low Spenders
1218-VKFPE,0,Low Spenders
3627-FHKBK,3,Medium-High Spenders
2865-TCHJW,3,Medium-High Spenders
1423-BMPBQ,0,Low Spenders
2393-DIVAI,0,Low Spenders
5192-EBGOV,3,Medium-High Spenders
4568-KNYWR,2,Medium-Low Spenders
8752-IMQOS,0,Low Spenders
0742-LAFQK,1,High Spenders
0795-LAFGP,1,High Spenders
0619-OLYUR,1,High Spenders
5512-IDZEI,2,Medium-Low Spenders
0459-SPZHJ,1,High Spenders
0215-BQKGS,3,Medium-High Spenders
9244-ZVAPM,0,Low Spenders
0719-SYFRB,3,Medium-High Spenders
8208-EUMTE,0,Low Spenders
5172-MIGPM,3,Medium-High Spenders
1710-RCXUS,1,High Spenders
0374-FIUCA,2,Medium-Low Spenders
5839-SUYVZ,3,Medium-High Spenders
5173-ZXXXL,0,Low Spenders
1096-ADRUX,1,High Spenders
2001-MCUUW,1,High Spenders
2731-GJRDG,1,High Spenders
4723-BEGSG,1,High Spenders
6516-NKQBO,3,Medium-High Spenders
8672-OAUPW,2,Medium-Low Spenders
8207-DMRVL,1,High Spenders
3419-SNJJD,1,High Spenders
6543-CPZMK,0,Low Spenders
4765-OXPPD,3,Medium-High Spenders
2804-ETQDK,2,Medium-Low Spenders
6689-VRRTK,1,High Spenders
7138-GIRSH,1,High Spenders
9396-ZSFLL,0,Low Spenders
6464-KEXXH,0,Low Spenders
7134-MJPDY,1,High Spenders
5240-CAOYT,1,High Spenders
4059-IIEBK,3,Medium-High Spenders
4881-JVQOD,0,Low Spenders
0516-UXRMT,1,High Spenders
4851-BQDNX,1,High Spenders
5148-HKFIR,0,Low Spenders
1009-IRMNA,0,Low Spenders
3003-CMDUU,3,Medium-High Spenders
5016-IBERQ,3,Medium-High Spenders
6797-UCJHZ,1,High Spenders
2469-DTSGX,1,High Spenders
4554-YGZIH,1,High Spenders
5099-BAILX,1,High Spenders
9931-KGHOA,2,Medium-Low Spenders
1775-KWJKQ,1,High Spenders
7665-VIGUD,0,Low Spenders
9411-TPQQV,2,Medium-Low Spenders
7207-RMRDB,1,High Spenders
7954-MLBUN,3,Medium-High Spenders
2077-DDHJK,1,High Spenders
4913-EHYUI,1,High Spenders
0195-IESCP,3,Medium-High Spenders
9574-BOSMD,2,Medium-Low Spenders
4580-TMHJU,2,Medium-Low Spenders
0970-ETWGE,3,Medium-High Spenders
4908-XAXAY,1,High Spenders
8404-VLQFB,0,Low Spenders
1626-ERCMM,3,Medium-High Spenders
0887-HJGAR,0,Low Spenders
2391-IPLOP,1,High Spenders
5644-PDMZC,3,Medium-High Spenders
3509-GWQGF,3,Medium-High Spenders
9576-ANLXO,3,Medium-High Spenders
2024-BASKD,3,Medium-High Spenders
5845-BZZIB,2,Medium-Low Spenders
1140-UKVZG,0,Low Spenders
4160-AMJTL,0,Low Spenders
5183-SNMJQ,3,Medium-High Spenders
8100-PNJMH,1,High Spenders
7838-LAZFO,1,High Spenders
4464-JCOLN,0,Low Spenders
2085-JVGAD,2,Medium-Low Spenders
5650-VDUDS,0,Low Spenders
8095-WANWK,0,Low Spenders
3030-ZKIWL,0,Low Spenders
9565-FLVCG,1,High Spenders
8755-OGKNA,2,Medium-Low Spenders
2800-VEQXM,3,Medium-High Spenders
7538-GWHML,3,Medium-High Spenders
5533-RJFTJ,2,Medium-Low Spenders
3859-CVCET,0,Low Spenders
0214-JHPFW,2,Medium-Low Spenders
5642-MHDQT,2,Medium-Low Spenders
3088-FVYWK,2,Medium-Low Spenders
3276-HDUEG,3,Medium-High Spenders
9092-GDZKO,0,Low Spenders
0823-HSCDJ,2,Medium-Low Spenders
3729-OWRVL,1,High Spenders
2324-AALNO,2,Medium-Low Spenders
0822-GAVAP,0,Low Spenders
5760-IFJOZ,3,Medium-High Spenders
2826-UWHIS,1,High Spenders
1448-PWKYE,3,Medium-High Spenders
7501-IWUNG,1,High Spenders
4957-TREIR,3,Medium-High Spenders
7251-LJBQN,1,High Spenders
8040-MNRTF,3,Medium-High Spenders
1536-HBSWP,0,Low Spenders
5313-FPXWG,2,Medium-Low Spenders
0067-DKWBL,0,Low Spenders
0946-FKYTX,2,Medium-Low Spenders
5076-YVXCM,1,High Spenders
8262-COGGB,0,Low Spenders
6663-JOCQO,3,Medium-High Spenders
9620-QJREV,2,Medium-Low Spenders
2276-YDAVZ,3,Medium-High Spenders
2682-KEVRP,0,Low Spenders
2480-JZOSN,0,Low Spenders
0078-XZMHT,1,High Spenders
5896-NPFWW,0,Low Spenders
9978-HYCIN,1,High Spenders
8338-QIUNR,1,High Spenders
1525-LNLOJ,1,High Spenders
9450-TRJUU,3,Medium-High Spenders
1766-GKNMI,3,Medium-High Spenders
6942-LBFDP,0,Low Spenders
1456-TWCGB,0,Low Spenders
7133-VBDCG,3,Medium-High Spenders
7596-ZYWBB,2,Medium-Low Spenders
8329-UTMVM,3,Medium-High Spenders
3014-WJKSM,3,Medium-High Spenders
3347-YJZZE,3,Medium-High Spenders
1029-QFBEN,0,Low Spenders
7929-DMBCV,3,Medium-High Spenders
9661-JALZV,2,Medium-Low Spenders
5433-KYGHE,3,Medium-High Spenders
4312-KFRXN,2,Medium-Low Spenders
5575-TPIZQ,1,High Spenders
0114-IGABW,1,High Spenders
9944-AEXBM,3,Medium-High Spenders
1853-ARAAQ,0,Low Spenders
6952-OMNWB,1,High Spenders
